2026-01-30 10:55:59,332 - AppLogger - INFO - Service: ElevenLabs | Event: HEALTH_CHECK_SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Service is healthy again. Resetting Circuit Breaker.
2026-01-30 10:55:59,333 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_STATE_CHANGE | Retry: 0 | Circuit: CLOSED | Details: Transitioned to CLOSED
2026-01-30 10:55:59,333 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_7
2026-01-30 10:55:59,334 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_7
2026-01-30 10:55:59,334 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_8
2026-01-30 10:55:59,334 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_8
2026-01-30 11:54:57,304 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_1
2026-01-30 11:54:57,304 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_1
2026-01-30 11:54:57,304 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_2
2026-01-30 11:54:57,304 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 11:55:02,310 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 11:55:12,312 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 11:55:32,315 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 11:55:32,317 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 1/3
2026-01-30 11:55:32,317 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_2 due to error: 503 Service Unavailable
2026-01-30 11:55:33,323 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_3
2026-01-30 11:55:33,324 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 11:55:38,330 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 11:55:48,336 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 11:56:08,341 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 11:56:08,342 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 2/3
2026-01-30 11:56:08,342 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_3 due to error: 503 Service Unavailable
2026-01-30 11:56:09,348 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_4
2026-01-30 11:56:09,349 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 11:56:14,355 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 11:56:24,360 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 11:56:44,369 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 11:56:44,372 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 3/3
2026-01-30 11:56:44,373 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_STATE_CHANGE | Retry: 0 | Circuit: OPEN | Details: Transitioned to OPEN
2026-01-30 11:56:44,373 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_4 due to error: 503 Service Unavailable
2026-01-30 11:56:45,374 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_5
2026-01-30 11:56:45,375 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_OPEN_REJECT | Retry: 0 | Circuit: OPEN | Details: Call rejected due to open circuit
